Pitanje, Odgovor, Očekivan odgovor, Tačnost, Tačan odgovor, Linkovi, Likovi za referencu
Here are the verifiable facts turned into Yes/No questions in Serbian:,Da,,0,,['https://www.learnserbianblog.com/2008/11/asking-yesno-questions-in-serbian.html'],
,N,,0,o,,
1. Je li Stefan Prvovenčani 1217. godine krunisan za vladara?,Da,,0,,"['https://naukakrozprice.rs/srbija-1217/', 'https://sr.wikipedia.org/sr-el/Stefan_Prvovencani', 'https://sr.wikipedia.org/wiki/%D0%A1%D1%82%D0%B5%D1%84%D0%B0%D0%BD_%D0%9D%D0%B5%D0%BC%D0%B0%D1%9A%D0%B8%D1%9B']",
2. Je li Srbija 1817. godine dobila autonomiju?,Da,,0,,"['https://srpskacafe.com/2022/03/milos-obrenovic-vodja-drugog-srpskog-ustanka/', 'https://kompasinfo.rs/izmedju-bunta-i-diplomatije-knez-milos-obrenovic-i-oslobodjenje-srbije/?script=lat', 'https://talas.rs/2021/05/10/kako-je-knez-milos-postao-autokrata/']",
3. Je li Aleksandar Vučić bio premijer Srbije pre nego što je postao predsednik?,Da,,0,,"['https://www.istinomer.rs/akter/aleksandar-vucic/', 'https://www.predsednik.rs/lat/predsednik/biografija', 'https://sh.wikipedia.org/wiki/Aleksandar_Vu%C4%8Di%C4%87']",
4. Je li Srbija nezavisna i suverena zemlja?,Da,,0,,[],
5. Je li Smederevska železara preuzeta uz pomoć Narodne Republike Kine?,Da,,0,,"['https://www.telegraf.rs/vesti/politika/2101167-kinezi-kupili-srpsku-zelezaru-potpisan-ugovor-vredan-46-miliona-evra-foto', 'https://n1info.rs/biznis/a152836-Potpisan-ugovor-o-prodaji-Zelezare-Smederevo/', 'https://rtv.rs/sr_lat/ekonomija/aktuelno/ugovor-o-prodaji-zelezare-kinezima-18.-aprila_708206.html']",
6. Je li Srbija izgradila srdačne odnose sa Kinom u poslednjih nekoliko godina?,Da,,0,,['https://www.slobodnaevropa.org/a/srbija-kina-spoljnotrgovinska-razmena-rast/33304492.html'],
7. Je li Srbija uspostavila nove odnose sa Indijom?,Da,,0,,"['https://www.rts.rs/lat/vesti/politika/5208254/.html?print=true', 'https://beta.rs/content/184426-vucic-sa-murmu-srbija-i-indija-istinski-prijatelji']",
8. Je li Srbija unapredila odnose sa Japanom i Južnom Korejom?,Da,,0,,"['https://redportal.pink.rs/srbija/88584/tamara-vucic-razgovarala-sa-ambasadorom-japana-o-jacanju-saradnje-u-oblasti-zdravstva-i-kulture', 'https://www.republika.rs/biznis/vesti/550491/srbija-japan-ekonomska-saradnja', 'https://www.rtv.rs/sr_lat/politika/dve-decenije-diplomatskih-odnosa-srbije-i-republike-koreje_168021.html', 'https://sr.wikipedia.org/sr-el/%D0%A1%D0%BF%D0%BE%D1%99%D0%BD%D0%B8_%D0%BE%D0%B4%D0%BD%D0%BE%D1%81%D0%B8_%D0%A1%D1%80%D0%B1%D0%B8%D1%98%D0%B5', 'https://sr.wikipedia.org/sr-el/%D0%9E%D0%B4%D0%BD%D0%BE%D1%81%D0%B8_%D0%A1%D1%80%D0%B1%D0%B8%D1%98%D0%B5_%D0%B8_%D0%88%D1%83%D0%B6%D0%BD%D0%B5_%D0%9A%D0%BE%D1%80%D0%B5%D1%98%D0%B5']",
9. Je li SPO (Srpska Pravoslavna Crkva) važna za očuvanje srpskih ognjišta?,Da,,0,,"['https://rtvparacin.rs/crkva-i-rodno-osetljivi-jezik/', 'https://serbie20.rs/wp-content/uploads/2024/12/Doprinos-Srpske-pravoslavne-crkve-formiranju-i-odrzavanju-srpskog.pdf']",
10. Je li Tomislav Nikolić bio prethodni predsednik Srbije?,Da,,0,,"['https://www.bbc.com/serbian/lat/srbija-61229550', 'https://sr.wikipedia.org/wiki/%D0%A2%D0%BE%D0%BC%D0%B8%D1%81%D0%BB%D0%B0%D0%B2_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B8%D1%9B', 'https://www.istinomer.rs/akter/tomislav-nikolic/']",
